i	j	k	Dose(Gy)
312	0	0	8.43383e-09
313	0	0	8.21683e-09
314	0	0	8.42455e-09
315	0	0	8.741e-09
316	0	0	8.87945e-09
317	0	0	9.81418e-09
318	0	0	1.43417e-08
319	0	0	1.05012e-08
320	0	0	1.30065e-08
321	0	0	9.01408e-09
322	0	0	9.71341e-09
323	0	0	6.64497e-09
324	0	0	6.75045e-09
325	0	0	6.58211e-09
326	0	0	6.90107e-09
327	0	0	7.1931e-09
328	0	0	7.67207e-09
329	0	0	8.67681e-09
330	0	0	6.26696e-09
331	0	0	5.7227e-09
332	0	0	6.18339e-09
333	0	0	6.2594e-09
334	0	0	6.42848e-09
335	0	0	6.44293e-09
336	0	0	6.55234e-09
337	0	0	6.48917e-09
338	0	0	6.52929e-09
339	0	0	6.63888e-09
340	0	0	6.71869e-09
341	0	0	6.76067e-09
342	0	0	6.86326e-09
343	0	0	6.92446e-09
344	0	0	6.6246e-09
345	0	0	7.03288e-09
346	0	0	6.91697e-09
347	0	0	7.03732e-09
348	0	0	7.42042e-09
349	0	0	8.36723e-09
350	0	0	6.31688e-09
351	0	0	6.28752e-09
352	0	0	6.37375e-09
353	0	0	6.54419e-09
354	0	0	6.83898e-09
355	0	0	6.75e-09
356	0	0	6.71945e-09
357	0	0	6.99611e-09
358	0	0	7.08865e-09
359	0	0	7.49725e-09
360	0	0	8.13574e-09
361	0	0	7.7068e-09
362	0	0	6.64576e-09
363	0	0	6.8599e-09
364	0	0	1.01648e-08
365	0	0	9.55829e-09
366	0	0	9.71344e-09
367	0	0	9.27563e-09
368	0	0	9.28744e-09
369	0	0	1.04329e-08
370	0	0	1.33726e-08
371	0	0	7.04201e-09
372	0	0	7.35802e-09
373	0	0	7.5663e-09
374	0	0	7.96127e-09
375	0	0	9.91283e-09
376	0	0	6.44526e-09
377	0	0	8.24102e-09
378	0	0	7.75987e-09
379	0	0	7.72761e-09
380	0	0	5.80364e-09
381	0	0	5.53909e-09
382	0	0	5.42737e-09
383	0	0	5.59091e-09
384	0	0	5.9036e-09
385	0	0	6.37757e-09
386	0	0	6.49883e-09
387	0	0	5.50494e-09
388	0	0	5.77873e-09
389	0	0	6.15133e-09
390	0	0	6.31094e-09
391	0	0	4.19814e-09
392	0	0	4.30638e-09
393	0	0	4.28555e-09
394	0	0	4.28919e-09
395	0	0	4.59524e-09
396	0	0	4.5389e-09
397	0	0	4.66551e-09
398	0	0	4.72604e-09
399	0	0	4.87394e-09
