i	j	k	LDT	LTT	proton_D	proton_T	deuteron_D	deuteron_T	triton_D	triton_T	He3_D	He3_T	alpha_D	alpha_T	He6_D	He6_T	Li6_D	Li6_T	Li7_D	Li7_T	Be7_D	Be7_T	Be8_D	Be8_T	B9_D	B9_T	B10_D	B10_T	B11_D	B11_T	C12_D	C12_T	C13_D	C13_T	N13_D	N13_T	N14_D	N14_T	N15_D	N15_T	O15_D	O15_T	O16_D	O16_T	O16_1_D	O16_1_T	O17_D	O17_T	O18_D	O18_T	F17_D	F17_T	F18_D	F18_T	Ne18_D	Ne18_T	Ne20_D	Ne20_T	Ne21_D	Ne21_T	Na23_D	Na23_T	Na24_D	Na24_T	Mg24_D	Mg24_T	Mg25_D	Mg25_T	Al27_D	Al27_T	Si30_D	Si30_T	P30_D	P30_T	Ar38_D	Ar38_T
116	0	0	12.4651	4.10531	3.14667	2.3842	3.76823	2.58362	7.31879	3.69248	0	0	25.4662	20.5652	0	0	0	0	13.2643	13.2644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	0	0	15.2252	4.40069	3.33203	2.44721	4.05654	2.65115	17.2643	4.56037	0	0	28.0173	21.9566	0	0	0	0	13.3097	13.3098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	0	0	15.6847	4.37923	3.60255	2.52907	4.71005	2.76491	4.28491	3.05846	0	0	31.9363	23.8395	0	0	0	0	13.3583	13.3583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.8659	46.8659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	0	0	20.3555	4.77603	4.09154	2.63467	9.10097	3.11799	4.42957	3.12124	0	0	39.3456	26.7343	0	0	0	0	13.4099	13.4099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	0	0	31.3105	5.18089	5.42356	2.89268	5.5632	2.6154	4.62649	3.19484	0	0	59.3454	32.7854	0	0	0	0	13.4618	13.4616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	0	0	147.935	6.71539	9.63204	3.21961	3.64387	2.573	4.82655	3.28592	0	0	257.075	53.1301	0	0	0	0	13.5142	13.5141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	0	0	147.663	5.67361	6.61838	2.84456	3.76141	2.62072	5.43827	3.40845	0	0	288.835	43.4227	0	0	0	0	13.5713	13.5723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451.368	396.995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	0	0	15.95	4.35534	6.78141	2.90908	3.97409	2.6794	6.36023	3.58724	0	0	34.8543	24.3314	0	0	0	0	13.6282	13.6282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	0	0	21.8306	4.60046	4.43938	2.67029	4.41916	2.75433	8.34632	3.9016	0	0	47.1836	28.2458	0	0	0	0	13.6819	13.682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	0	0	153.266	6.44481	4.74266	2.78756	5.00321	2.86151	18.3958	4.65825	0	0	290.476	54.2615	0	0	0	0	13.7321	13.7322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	0	0	16.2673	4.36103	7.91522	3.06954	7.03036	3.093	4.09731	2.94335	0	0	35.6777	24.5879	0	0	0	0	13.7831	13.7831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	0	0	22.9118	4.56068	7.98585	2.96653	8.77139	3.01027	4.29616	2.99469	0	0	48.6753	28.8084	0	0	0	0	13.8386	13.8386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	0	0	164.757	6.14572	6.6584	2.73233	5.26865	2.87681	4.57478	3.05871	0	0	308.192	58.139	0	0	0	0	13.8963	13.8963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	0	0	15.3735	4.03732	3.32785	2.46601	10.5184	3.19456	4.6908	3.13074	0	0	33.8541	23.7918	0	0	0	0	13.9542	13.9542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	0	0	97.3633	4.47709	3.51341	2.5457	4.01724	2.67824	5.14292	3.21607	0	0	43.1444	27.3755	0	0	0	0	14.0079	14.0079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0902	2.0902	0	0	967.57	626.178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	0	0	31.5895	4.61694	3.75922	2.6415	4.15499	2.72005	5.65674	3.32498	0	0	71.4336	35.8353	0	0	0	0	14.0655	14.0656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	0	0	171.692	5.78095	4.18001	2.76991	4.51006	2.80546	6.35757	3.47652	0	0	354.998	61.1029	0	0	0	0	14.1327	14.1312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	0	0	23.6654	4.35375	4.98023	2.96496	5.33459	2.92938	7.57894	3.69948	0	0	64.2638	30.1636	0	0	0	0	14.2036	14.2038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	0	0	148.804	6.07243	6.96394	3.37311	6.94662	3.1691	11.4937	4.21284	0	0	346.773	63.8565	0	0	0	0	14.2709	14.2709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217.612	195.511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	0	0	13.7719	4.12768	12.6188	3.67087	11.0115	3.30824	16.1765	4.0058	0	0	19.9801	15.9128	0	0	0	0	14.3349	14.3349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	0	0	11.1887	3.70034	8.33901	2.99024	10.6369	3.11408	6.42263	3.28091	0	0	21.5408	16.6303	0	0	0	0	14.401	14.4006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	0	0	9.70993	3.53944	7.3435	2.81966	3.74942	2.59755	8.85822	3.63051	0	0	23.2616	17.5022	0	0	0	0	14.4684	14.4684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	0	0	12.4751	3.57656	4.87551	2.48412	3.9646	2.65553	20.8038	4.19073	0	0	26.227	18.6461	0	0	0	0	14.5399	14.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	0	0	10.6159	3.4198	4.20306	2.56666	4.25826	2.72521	2.88133	2.41972	0	0	30.0651	20.2578	0	0	0	0	14.6159	14.6161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	0	0	13.121	3.65975	5.66737	2.82622	4.66837	2.81648	2.82077	2.43415	0	0	36.6856	22.7272	0	0	0	0	14.689	14.6891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	0	0	19.9305	4.01774	10.7704	3.08741	5.60592	2.95618	2.91298	2.44878	0	0	51.596	27.4162	0	0	0	0	14.7623	14.7623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	0	0	48.7422	4.54354	3.17091	2.31843	11.3245	3.32486	2.96739	2.46432	0	0	113.714	43.7215	0	0	0	0	14.835	14.835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	0	0	223.334	4.77621	3.54759	2.40602	4.13983	2.72895	2.92887	2.48032	0	0	548.879	66.6081	0	0	0	0	14.9041	14.9042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	0	0	5.6303	3.06782	4.17506	2.55149	4.46385	2.80998	2.96408	2.49589	0	0	12.4014	12.3856	0	0	0	0	14.9746	14.9742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145	0	0	7.18846	3.2613	8.32862	2.909	4.83699	2.91572	3.02171	2.51375	0	0	12.6059	12.5481	0	0	0	0	15.0496	15.0497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	0	0	30.1167	3.30345	3.73481	2.40639	5.43665	3.05937	2.96506	2.53143	0	0	12.7477	12.7139	0	0	0	0	15.1223	15.1223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532.149	383.473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	0	0	6.8725	3.32469	5.28787	2.62072	6.5168	3.28745	3.03907	2.54639	0	0	12.9739	12.887	0	0	0	0	15.1967	15.1968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148	0	0	9.11582	3.54221	7.32821	2.58771	10.1849	3.7994	3.09915	2.49918	0	0	13.1468	13.068	0	0	0	0	15.2718	15.2717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	0	0	10.648	3.44019	3.47657	2.33268	15.252	3.7715	3.17917	2.51791	0	0	13.3833	13.2597	0	0	0	0	15.3449	15.345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	0	0	7.30308	3.21486	3.83306	2.42423	7.93568	3.10822	3.18848	2.53706	0	0	13.5605	13.4644	0	0	0	0	15.4239	15.4239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	0	0	198.273	4.49045	4.72671	2.57905	11.8861	3.1718	3.24311	2.55849	0	0	470.686	33.4361	0	0	0	0	15.5013	15.5013	0	0	0	0	0	0	0	0	0	0	739.507	612.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	0	0	9.2039	3.47241	9.95826	3.1138	7.74292	2.98158	3.23716	2.58006	0	0	13.9929	13.9057	0	0	0	0	15.5799	15.5799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	0	0	10.7736	3.27704	7.75508	2.35874	13.6827	3.18625	3.39012	2.60258	0	0	14.2319	14.1431	0	0	0	0	15.6612	15.6611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	0	0	8.79192	3.00496	2.72458	2.14663	11.8441	2.65647	3.39572	2.62725	0	0	14.4983	14.3909	0	0	0	0	15.7443	15.7444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	0	0	5.96601	2.83617	2.82386	2.1862	2.71527	2.12929	3.42623	2.65071	0	0	14.7492	14.6542	0	0	0	0	15.8387	15.8388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	0	0	5.89667	2.87732	2.88881	2.23267	2.72447	2.14814	3.46368	2.67707	0	0	15.0968	14.9312	0	0	0	0	15.9329	15.9329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157	0	0	52.4641	3.15188	3.1204	2.28667	2.81237	2.16867	3.5906	2.7055	0	0	15.4288	15.2112	0	0	0	0	16.0177	16.0175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	627.78	461.307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
158	0	0	6.30885	2.97523	3.31771	2.35655	2.82675	2.19035	3.65866	2.73425	0	0	15.6645	15.5103	0	0	0	0	16.1083	16.1072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159	0	0	6.35165	3.03909	3.57813	2.45112	2.90422	2.21181	3.67021	2.76562	0	0	16.0424	15.833	0	0	0	0	16.2076	16.2079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	0	0	6.83156	3.12442	4.41426	2.59562	2.94343	2.23373	3.81456	2.79898	0	0	16.4076	16.1757	0	0	0	0	16.3077	16.3078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161	0	0	8.65416	3.32775	9.19075	3.02437	3.11588	2.25825	3.90022	2.83584	0	0	16.8316	16.5593	0	0	0	0	16.405	16.4051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	0	0	6.95624	3.13637	3.95274	2.44347	3.08796	2.28504	4.05372	2.87504	0	0	17.211	16.9627	0	0	0	0	16.5066	16.5066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
163	0	0	7.95603	3.30083	6.62844	2.77342	3.25883	2.31449	4.18613	2.91798	0	0	17.576	17.3837	0	0	0	0	16.6132	16.6133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164	0	0	8.26904	3.21134	6.99404	2.41822	3.28708	2.34708	4.25296	2.9652	0	0	18.0878	17.8504	0	0	0	0	16.7168	16.7168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165	0	0	7.4317	3.19668	3.09208	2.26651	3.43464	2.38228	4.3385	3.01425	0	0	18.7563	18.3641	0	0	0	0	16.8192	16.819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166	0	0	7.82713	3.26851	3.38224	2.32982	3.53248	2.42356	4.63534	3.07009	0	0	19.3164	18.9314	0	0	0	0	16.9214	16.9215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167	0	0	8.19802	3.35562	3.76105	2.41587	3.72898	2.47042	4.77556	3.13544	0	0	20.043	19.5706	0	0	0	0	17.0292	17.0295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168	0	0	8.70344	3.47472	4.69251	2.56402	3.96489	2.53007	5.03038	3.20551	0	0	20.7591	20.2787	0	0	0	0	17.1496	17.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	0	0	10.4107	3.65469	9.50535	2.83477	4.41483	2.60397	5.24475	3.2901	0	0	21.854	21.0554	0	0	0	0	17.2732	17.2737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	0	0	9.55461	3.58468	3.64677	2.37764	5.11038	2.7132	5.52316	3.38807	0	0	22.8074	21.9495	0	0	0	0	17.3972	17.3974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	0	0	10.4277	3.7854	4.79186	2.54185	6.59063	2.90998	6.13881	3.51203	0	0	23.9709	22.9672	0	0	0	0	17.5184	17.5187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	0	0	13.7902	4.03144	8.87012	2.70562	12.6303	3.16129	6.89706	3.67267	0	0	25.2884	24.1239	0	0	0	0	17.6412	17.6402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	0	0	24.6885	3.86166	2.8935	2.22002	4.64549	2.55014	8.36531	3.9797	0	0	27.1283	25.4906	0	0	0	0	17.7708	17.7707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409.505	330.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	0	0	15.9713	4.24633	3.04166	2.26992	10.223	3.46573	11.557	4.09754	0	0	29.0863	27.171	0	0	0	0	17.9045	17.9048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219.596	186.659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	0	0	19.4061	4.37281	3.26839	2.33115	17.9831	3.41207	23.404	4.60524	0	0	32.0567	29.306	0	0	0	0	18.0404	18.0408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	0	0	15.5025	3.7621	3.71117	2.41983	3.01463	2.24728	4.47698	2.70328	0	0	36.2847	32.1799	0	0	0	0	18.1795	18.178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	0	0	18.8252	4.01497	4.66347	2.57244	3.10484	2.2725	5.08811	2.78492	0	0	42.809	36.5076	0	0	0	0	18.3222	18.3222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	0	0	26.4753	4.49852	9.71875	2.959	3.01081	2.30034	5.78763	2.88583	0	0	57.4968	44.1817	0	0	0	0	18.473	18.4732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	0	0	87.2315	5.55636	3.10031	2.28375	3.21181	2.32948	6.71161	3.02897	0	0	156.34	76.0959	0	0	0	0	18.6338	18.6335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	0	0	227.868	5.13646	3.27867	2.34333	3.24568	2.36002	8.67184	3.28771	0	0	508.358	86.7342	0	0	0	0	18.7936	18.7925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	0	0	16.3255	3.8155	3.68018	2.42454	3.43958	2.39595	13.1785	3.92154	0	0	41.9682	37.0971	0	0	0	0	18.9492	18.9488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.347	76.347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	0	0	22.6805	4.11037	4.19128	2.55168	3.5358	2.4346	28.7631	4.25196	0	0	52.1809	43.9877	0	0	0	0	19.1117	19.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	0	0	33.6623	4.42544	9.64372	3.02892	3.66971	2.47605	2.17403	1.98116	0	0	77.8853	59.1145	0	0	0	0	19.2781	19.2786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	0	0	235.118	6.41267	3.11057	2.29361	3.75361	2.51509	2.21531	2.08069	0	0	402.679	155.746	0	0	0	0	19.4487	19.4484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
185	0	0	8.75486	3.01576	3.39807	2.31928	3.99326	2.53836	2.18152	2.09903	0	0	30.1066	30.1077	0	0	0	0	19.6438	19.6438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
186	0	0	9.48175	3.11626	3.71899	2.40695	4.12845	2.60193	2.27162	2.10537	0	0	32.4816	32.4818	0	0	0	0	19.8515	19.8508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
