i	j	k	LDT	LTT	proton_D	proton_T	deuteron_D	deuteron_T	triton_D	triton_T	He3_D	He3_T	alpha_D	alpha_T	He6_D	He6_T	Li6_D	Li6_T	Li7_D	Li7_T	Be7_D	Be7_T	Be8_D	Be8_T	B9_D	B9_T	B10_D	B10_T	B11_D	B11_T	C12_D	C12_T	C13_D	C13_T	N13_D	N13_T	N14_D	N14_T	N15_D	N15_T	O15_D	O15_T	O16_D	O16_T	O16_1_D	O16_1_T	O17_D	O17_T	O18_D	O18_T	F17_D	F17_T	F18_D	F18_T	Ne18_D	Ne18_T	Ne20_D	Ne20_T	Ne21_D	Ne21_T	Na23_D	Na23_T	Na24_D	Na24_T	Mg24_D	Mg24_T	Mg25_D	Mg25_T	Al27_D	Al27_T	Si30_D	Si30_T	P30_D	P30_T	Ar38_D	Ar38_T
22	0	0	100.043	91.1835	3.66045	2.5294	5.84515	4.05069	4.13402	2.75077	167.834	28.8767	219.817	38.7991	0	0	41.6526	34.7945	38.0893	27.8878	28.4856	28.4858	0	0	0	0	0	0	37.8784	37.8784	97.8769	78.4152	58.6511	58.6506	0	0	481.293	204.033	82.4058	81.5623	121.661	115.779	104.532	103.38	97.6139	97.3032	0	0	0	0	453.424	450.783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	100.902	91.9196	9.13074	3.18612	11.4379	4.65639	4.53538	2.97603	163.338	31.9588	156.014	34.0196	0	0	48.208	37.9673	41.4772	29.4472	28.8029	28.8035	0	0	0	0	108.176	108.069	38.1416	38.1416	153.62	113.849	59.2725	59.2722	0	0	80.2095	80.1628	84.4983	83.8549	124.748	119.19	106.178	104.702	98.9207	98.5727	0	0	0	0	703.569	680.485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	102.626	93.2549	4.71711	2.72739	8.52472	3.77711	4.96046	3.0309	31.3069	22.2343	273.777	51.6617	0	0	60.2898	43.4041	73.553	50.286	29.1255	29.1266	0	0	0	0	117.449	117.337	38.4306	38.4306	220.935	159.107	59.8848	59.8861	352.026	349.808	81.2888	81.2552	86.9342	86.0791	129.112	122.403	110.112	107.842	100.271	99.892	3.54129	3.54129	0	0	1155.26	1054.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	104.174	94.676	6.26187	2.84365	6.50308	3.75744	5.81109	3.13594	50.5305	28.1069	149.978	32.6836	0	0	99.2183	58.2388	161.552	82.9261	29.4502	29.4506	28.9905	28.9905	0	0	131.551	131.34	38.7338	38.7338	412.402	250.098	60.5276	60.5048	632.264	575.748	82.46	82.3981	88.4419	87.3678	133.929	125.969	109.464	108.144	101.742	101.323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	104.637	95.4485	11.0199	3.77609	11.8208	4.35019	8.11365	3.58728	238.328	48.154	264.855	39.9443	0	0	173.038	53.2737	56.3982	37.3869	29.769	29.7702	0	0	0	0	153.404	152.933	39.0133	39.0133	361.208	114.327	61.2048	61.2053	0	0	126.135	104.601	89.3689	88.7112	138.791	129.971	111.721	109.969	103.191	102.746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	106.322	96.2884	6.51235	3.12957	6.17078	3.90757	13.4449	3.89805	150.581	25.0223	340.522	36.4948	0	0	27.1191	26.7473	64.6523	41.711	30.1116	30.1108	0	0	0	0	194.258	192.489	39.3017	39.3016	70.938	69.133	133.487	110.759	0	0	282.222	182.544	91.0039	90.1456	142.939	131.846	112.996	111.953	104.83	104.341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	0	0	108.705	97.1202	4.01947	2.89352	9.44893	4.43923	5.39625	3.38177	200.788	38.0021	149.474	26.2901	0	0	28.1461	27.4621	76.0003	45.012	30.4761	30.4768	0	0	0	0	340.933	319.651	39.63	39.63	71.3907	69.8402	150.767	123.173	0	0	413.873	199.09	92.6822	91.6664	146.526	133.472	115.684	114.066	106.434	105.895	0	0	0	0	0	0	0	0	493.292	491.441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	0	0	111.43	98.4268	6.62453	3.21994	13.1676	5.02572	6.64758	3.64777	224.714	30.1796	320.696	40.5474	50.2598	50.2546	29.9303	28.2078	173.946	73.7341	30.8556	30.8565	130.862	130.862	0	0	591.897	529.83	39.9642	39.9642	73.0546	71.1606	186.387	155.567	0	0	245.66	155.6	94.3289	93.3026	156.238	139.25	118.443	116.611	108.228	107.625	0	0	0	0	0	0	0	0	693.766	682.282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	113.728	100.036	7.85441	3.44055	6.41123	3.74242	14.3149	4.30857	201.787	24.1178	35.3403	17.4052	56.416	56.2992	31.3752	29.1586	24.1822	19.3748	31.2612	31.2612	0	0	0	0	0	0	40.3059	40.3059	74.5233	72.5692	238.143	194	0	0	473.012	208.874	96.2013	95.0506	167.316	145.981	119.065	117.635	110.117	109.429	0	0	0.924623	0.924623	0	0	4.15723	4.15723	1194.03	1134.05	611.998	612.106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	0	0	115.547	101.726	7.83583	3.33966	8.07386	3.87777	4.40801	3.11162	23.0169	18.1366	156.257	25.906	67.3353	67.0316	32.6271	30.2379	24.1164	19.7005	31.6979	31.6976	0	0	0	0	0	0	40.6574	40.6555	76.4396	74.0746	410.452	295.708	0	0	90.6094	90.498	98.2737	96.9126	185.749	155.118	121.002	119.306	112.083	111.29	3.64773	3.64773	0	0	1202.07	1028.38	0	0	0	0	813.097	790.717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	116.892	103.389	8.32731	3.19884	7.48396	4.13064	4.83466	3.24683	24.7095	18.6716	155.06	20.5498	87.2457	86.6441	33.9795	31.4914	25.4222	20.055	32.1569	32.1571	33.6888	33.6888	0	0	0	0	40.9914	40.9911	78.0944	75.6885	550.899	250.142	0	0	92.1829	92.1477	102.091	100.506	225.34	170.449	123.834	121.935	114.328	113.345	0	0	0	0	0	0	0	0	0	0	1320.57	1221.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	118.087	105.155	6.72515	3.27851	15.8499	4.97162	5.93231	3.46102	30.5395	21.0199	43.4147	17.5111	148.353	141.892	36.3851	32.9638	26.0949	20.4406	32.6316	32.6319	0	0	0	0	0	0	41.3209	41.3209	78.6911	75.8375	66.9012	66.901	0	0	92.7814	92.6083	106.454	104.666	372.491	203.679	126.946	124.746	117.007	115.568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0	0	120.307	106.841	6.06102	2.82358	9.09848	3.79178	9.06952	3.90823	49.044	26.0544	165.806	24.0851	564.769	417.252	38.5638	34.7783	25.8465	20.8645	33.1083	33.1076	0	0	0	0	0	0	41.6755	41.6755	79.923	77.372	67.8625	67.8615	0	0	197.617	122.282	108.152	106.304	217.677	165.106	129.86	127.791	119.725	117.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	123.822	108.197	5.63938	2.74155	7.63794	3.5615	14.0397	3.68618	155.926	34.4511	273.728	31.0101	0	0	42.3203	37.0945	26.3898	21.3006	33.5936	33.5928	29.4249	29.4249	45.7245	45.7245	0	0	42.0528	42.0528	111.392	94.1623	68.8576	68.8576	0	0	424.508	176.384	110.576	108.608	377.38	198.259	131.605	129.003	121.219	120.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	0	0	124.164	110.558	4.84253	2.88951	7.26444	3.78946	4.14975	3.00546	239.368	44.9443	141.733	20.8193	0	0	48.9197	41.7651	27.78	21.7525	34.1239	34.1229	0	0	0	0	0	0	42.4445	42.4445	131.555	101.908	69.9109	69.9099	0	0	97.9568	97.8254	114.159	111.537	148.883	142.645	135.014	132.194	124.158	122.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0	0	128.337	113.412	8.00923	3.33213	12.6743	4.40207	4.46535	3.15679	29.8385	21.415	229.866	25.1606	0	0	57.5942	48.3172	28.1733	22.263	34.6891	34.6873	0	0	0	0	0	0	42.8454	42.8453	192.616	118.01	71.0334	71.0359	0	0	107.137	102.256	117.57	114.778	153.716	146.741	139.653	136.067	128.253	125.769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	0	0	130.133	115.886	8.117	2.85753	14.5538	4.63212	4.83658	3.29537	48.2856	26.5393	103.447	21.8973	0	0	77.2007	58.6461	29.7949	22.8452	35.2666	35.2659	101.788	101.788	0	0	0	0	43.2494	43.2494	219.689	107.668	72.2104	72.2121	0	0	244.524	164.144	121.587	118.376	161.217	152.134	144.568	140.375	129.986	128.547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	0	134.806	118.688	5.98714	2.72916	11.0289	3.95202	5.82623	3.62213	187.717	32.4729	209.298	25.6427	0	0	118.782	65.4418	30.6729	23.5177	35.8579	35.8567	0	0	0	0	0	0	43.678	43.678	159.485	112.818	73.4254	73.4274	0	0	399.749	216.805	126.386	122.409	172.151	159.987	150.16	145.175	133.521	131.832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	0	0	138.543	121.919	4.93998	2.68414	5.68664	3.28406	6.57701	3.83966	47.1521	27.0141	126.931	22.7922	0	0	129.834	69.0065	32.126	24.2718	36.4787	36.4799	0	0	0	0	0	0	44.1476	44.1477	238.182	121.855	74.7052	74.7038	0	0	419.11	202.069	131.681	127.919	188.941	170.234	156.414	150.637	137.576	135.491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	0	0	143.667	125.086	8.10431	3.18766	8.45018	3.78215	8.0296	4.30281	324.524	59.2253	218.983	31.7612	0	0	131.453	58.2194	33.0721	25.0967	37.1062	37.1052	0	0	0	0	0	0	44.612	44.612	174.425	117.989	229	150.336	216.261	153.077	110.435	110.1	135.729	131.268	235.473	194.149	188.287	170.789	142.551	139.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	0	0	150.387	128.962	5.21011	2.78155	10.5034	4.02048	12.4352	5.31577	200.032	37.638	201.994	38.3366	0	0	35.5238	33.9804	34.621	26.0425	37.7894	37.7909	0	0	0	0	0	0	45.0589	45.0589	207.294	119.204	467.538	282.946	553.226	344.012	113.567	113.165	142.032	136.206	389.218	255.671	239.394	200.879	147.007	143.869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	0	0	156.086	133.327	8.29727	3.24658	7.79628	3.6877	18.6003	5.39996	230.306	32.5797	263.052	37.7807	0	0	37.6608	35.6394	36.3567	27.1208	38.5647	38.5632	0	0	0	0	0	0	45.5433	45.5433	129.167	109.978	79.0467	79.0433	120.431	120.396	117.072	116.576	150.705	143.139	378.994	223.456	415.986	261.228	152.003	148.778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	979.756	968.289	0	0	0	0	0	0	0	0	0	0
44	0	0	161.989	138.104	3.99112	2.7353	10.8563	4.16322	11.3644	4.04199	220.879	32.6982	128.838	27.1245	0	0	40.4737	37.661	39.4325	28.4305	39.4071	39.4019	0	0	0	0	0	0	46.0666	46.0667	172.118	124.229	80.671	80.6761	125.012	125.005	120.811	120.328	161.355	151.657	256.831	205.941	409.72	238.981	158.502	154.447	0	0	0	0	0	0	412.833	412.493	0	0	0	0	0	0	0	0	0	0	1489.43	1397.55	0	0	0	0	0	0	0	0	0	0
45	0	0	167.519	143.563	6.0252	3.04609	6.39008	3.89612	6.39165	3.77658	32.368	21.5965	185.535	29.8122	0	0	43.8831	40.2356	43.1849	30.0693	40.2959	40.2993	0	0	0	0	0	0	46.5883	46.588	199.747	123.753	82.4542	82.4365	130.265	130.226	125.301	124.521	177.041	162.757	376.204	233.976	237.971	204.526	166.288	161.036	0	0	0	0	0	0	520.69	515.957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0	0	178.101	150.636	8.41055	3.32072	8.28029	4.01184	8.00666	4.10747	45.1396	26.9711	180.529	24.5557	0	0	49.0486	43.8069	46.1307	32.0508	41.1928	41.2051	0	0	0	0	0	0	47.1096	47.1096	115.488	111.718	84.3726	84.3743	136.157	136.082	130.307	129.279	200.688	178.679	206.107	193.29	305.164	237.996	176.455	168.943	0	0	0.27371	0.27371	0	0	911.629	853.757	0	0	0	0	0	0	0	0	0	0	1040.57	1039.72	0	0	0	0	0	0	0	0	0	0
47	0	0	189.938	158.88	4.74247	2.84609	7.59479	3.929	14.8801	4.73859	213.293	58.8283	34.1683	19.5487	0	0	58.5876	49.4143	50.8463	34.6368	42.1856	42.1878	0	0	0	0	0	0	47.6669	47.667	119.672	114.984	86.4587	86.4607	142.834	142.845	136.062	134.764	248.039	204.778	234.698	212.156	413.41	263.581	187.572	178.181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1229.01	1225.28	0	0	0	0	0	0	0	0	2305.09	1834.5
48	0	0	207.644	169.55	8.27474	3.22763	9.04895	4.1763	11.1528	4.4454	407.493	50.6078	172.113	26.5709	0	0	91.1458	63.5796	58.1157	38.3698	43.3231	43.3075	0	0	0	0	0	0	48.2661	48.2661	126.217	119.579	88.7249	88.736	150.862	150.79	142.936	141.16	349.876	237.19	292.712	243.961	258.835	226.195	204.791	190.439	0	0	0	0	0	0	595.414	595.253	0	0	0	0	0	0	0	0	0	0	1174.13	1172.63	0	0	1706.75	1556.1	0	0	0	0	0	0
49	0	0	237.94	184.425	7.81939	3.39096	12.3804	4.51339	13.4299	4.03544	17.4354	14.1321	172.618	28.895	0	0	123.682	62.8252	69.2798	44.2046	44.5231	44.5467	0	0	0	0	0	0	48.8882	48.8883	139.45	128.904	91.1676	91.1285	160.6	160.596	150.611	148.707	354.917	240.032	445.561	299.555	342.315	268.911	234.328	207.904	0	0	1.45147	1.45147	616.255	610.959	928.635	867.595	0	0	0	0	943.709	941.766	0	0	0	0	1521.28	1421.64	0	0	0	0	0	0	0	0	0	0
50	0	0	304.469	209.027	7.99119	3.25957	12.1826	4.20252	19.2965	4.9272	38.52	16.9246	155.673	29.6248	0	0	90.6964	70.2951	93.025	55.8078	45.7862	45.7896	0	0	0	0	0	0	49.5457	49.5457	161.094	142.765	93.7675	93.7454	172.831	172.848	187.248	165.233	379.191	235.228	400.208	258.726	628.43	395.083	301.953	235.867	1063.26	927.007	0	0	1002.24	931.189	0	0	0	0	0	0	1282.86	1191.58	0	0	0	0	0	0	0	0	0	0	2.46497	2.46497	2116.66	1699.01	0	0
