i	j	k	Dose(Gy)
350	0	0	9.49325e-09
351	0	0	1.05348e-08
352	0	0	8.06806e-09
353	0	0	8.90166e-09
354	0	0	9.15574e-09
355	0	0	9.70401e-09
356	0	0	7.32527e-09
357	0	0	7.56448e-09
358	0	0	7.49356e-09
359	0	0	8.85581e-09
360	0	0	8.92135e-09
361	0	0	8.24575e-09
362	0	0	7.02674e-09
363	0	0	6.77529e-09
364	0	0	6.32538e-09
365	0	0	6.46067e-09
366	0	0	6.62491e-09
367	0	0	6.92889e-09
368	0	0	6.96495e-09
369	0	0	6.98595e-09
370	0	0	7.1512e-09
371	0	0	7.53682e-09
372	0	0	7.61213e-09
373	0	0	7.7634e-09
374	0	0	1.01721e-08
375	0	0	1.16078e-08
376	0	0	8.29608e-09
377	0	0	8.85335e-09
378	0	0	9.62977e-09
379	0	0	1.04068e-08
380	0	0	9.77453e-09
381	0	0	9.45251e-09
382	0	0	8.94948e-09
383	0	0	7.86042e-09
384	0	0	5.63097e-09
385	0	0	5.33667e-09
386	0	0	5.42427e-09
387	0	0	5.63975e-09
388	0	0	5.59949e-09
389	0	0	7.68638e-09
390	0	0	6.10901e-09
391	0	0	5.70035e-09
392	0	0	5.77479e-09
393	0	0	1.3007e-08
394	0	0	6.41036e-09
395	0	0	6.05653e-09
396	0	0	6.46621e-09
397	0	0	7.16507e-09
398	0	0	5.37783e-09
399	0	0	5.36963e-09
